Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA,30 min decay,SUVA
GW34,16/06/2021,4.1,2.6,4.1,27,50,44,9,130,7.02,70.0,0.3,95.0,0.24,9.0,2.0,0.085,1.4999999999999996,4.25
GW34,16/06/2021,6.1,4.4,6.1,34,59,45,8,150,7.02,70.0,0.3,95.0,0.24,9.0,2.0,0.085,1.6999999999999993,4.25
GW34,16/06/2021,10.0,9.0,10.0,47,69,47,7,170,7.02,70.0,0.3,95.0,0.24,9.0,2.0,0.085,1.0,4.25
GW35,16/06/2021,0.98,0.77,0.98,1,1,9,39,49,7.34,83.0,0.1,130.0,0.38,1.0,0.5,0.016,0.20999999999999996,3.2
GW35,16/06/2021,1.93,1.68,1.93,1,4,17,25,46,7.34,83.0,0.1,130.0,0.38,1.0,0.5,0.016,0.25,3.2
GW35,16/06/2021,4.1,3.8,4.1,1,9,22,19,51,7.34,83.0,0.1,130.0,0.38,1.0,0.5,0.016,0.2999999999999998,3.2
GW35,16/06/2021,6.1,5.8,6.1,3,11,25,17,56,7.34,83.0,0.1,130.0,0.38,1.0,0.5,0.016,0.2999999999999998,3.2
GW35,16/06/2021,10.0,10.2,10.0,5,14,21,12,52,7.34,83.0,0.1,130.0,0.38,1.0,0.5,0.016,-0.1999999999999993,3.2
GW36,19/03/2021,1.14,0.66,3.9,1,1,2,23,25,5.89,178.0,4.3,450.0,1.3,1.0,0.5,0.009,0.47999999999999987,1.7999999999999998
GW36,19/03/2021,2.1,1.49,1.0,1,1,4,23,27,5.89,178.0,4.3,450.0,1.3,1.0,0.5,0.009,0.6100000000000001,1.7999999999999998
GW36,19/03/2021,4.5,3.7,1.8,1,2,10,18,30,5.89,178.0,4.3,450.0,1.3,1.0,0.5,0.009,0.7999999999999998,1.7999999999999998
GW36,19/03/2021,7.0,5.9,3.8,1,3,10,14,27,5.89,178.0,4.3,450.0,1.3,1.0,0.5,0.009,1.0999999999999996,1.7999999999999998
GW36,19/03/2021,11.8,10.0,5.8,1,4,11,10,25,5.89,178.0,4.3,450.0,1.3,1.0,0.5,0.009,1.8000000000000007,1.7999999999999998
GW39,13/12/2019,0.89,0.02,0.93,1,1,1,1,4,6.34,61.0,17.0,145.0,0.38,3.0,1.3,0.053,0.87,4.076923076923077
GW39,13/12/2019,2.1,0.02,2.0,1,1,1,1,4,6.34,61.0,17.0,145.0,0.38,3.0,1.3,0.053,2.08,4.076923076923077
GW39,13/12/2019,4.0,0.13,4.1,1,2,6,13,21,6.34,61.0,17.0,145.0,0.38,3.0,1.3,0.053,3.87,4.076923076923077
GW39,13/12/2019,5.9,1.67,6.1,5,18,44,33,100,6.34,61.0,17.0,145.0,0.38,3.0,1.3,0.053,4.23,4.076923076923077
GW39,13/12/2019,11.6,5.4,11.2,15,29,41,16,100,6.34,61.0,17.0,145.0,0.38,3.0,1.3,0.053,6.199999999999999,4.076923076923077
GW40,13/12/2019,0.93,0.53,0.93,1,2,4,4,10,6.18,42.0,0.7,90.0,0.24,5.0,1.6,0.19,0.4,11.875
GW40,13/12/2019,2.0,0.75,2.0,4,11,19,9,43,6.18,42.0,0.7,90.0,0.24,5.0,1.6,0.19,1.25,11.875
GW40,13/12/2019,4.1,1.96,4.1,21,38,37,8,100,6.18,42.0,0.7,90.0,0.24,5.0,1.6,0.19,2.1399999999999997,11.875
GW40,13/12/2019,6.1,4.2,6.1,35,45,37,6,120,6.18,42.0,0.7,90.0,0.24,5.0,1.6,0.19,1.8999999999999995,11.875
GW40,13/12/2019,11.2,7.9,11.2,40,47,32,4,120,6.18,42.0,0.7,90.0,0.24,5.0,1.6,0.19,3.299999999999999,11.875
GW56,30/06/2020,1.15,0.3,1.15,1,1,1,14,14,7.23,60.0,9.6,95.0,0.24,1.0,0.5,0.002,0.8499999999999999,0.4
GW56,30/06/2020,1.94,1.09,1.94,1,1,2,5,8,7.23,60.0,9.6,95.0,0.24,1.0,0.5,0.002,0.8499999999999999,0.4
GW56,30/06/2020,3.9,3.0,3.9,2,2,2,1,6,7.23,60.0,9.6,95.0,0.24,1.0,0.5,0.002,0.8999999999999999,0.4
GW56,30/06/2020,6.3,4.8,6.3,3,5,4,1,12,7.23,60.0,9.6,95.0,0.24,1.0,0.5,0.002,1.5,0.4
GW56,30/06/2020,9.8,8.4,9.8,5,6,3,1,14,7.23,60.0,9.6,95.0,0.24,1.0,0.5,0.002,1.4000000000000004,0.4
GW61,17/02/2021,0.98,0.76,0.98,1,1,5,17,22,7.38,77.0,1.5,140.0,0.62,1.0,0.5,0.002,0.21999999999999997,0.4
GW61,17/02/2021,1.02,1.53,1.02,1,2,8,9,19,7.38,77.0,1.5,140.0,0.62,1.0,0.5,0.002,-0.51,0.4
GW61,17/02/2021,3.9,4.1,3.9,1,4,8,5,17,7.38,77.0,1.5,140.0,0.62,1.0,0.5,0.002,-0.19999999999999973,0.4
GW61,17/02/2021,5.8,5.5,5.8,1,5,8,4,17,7.38,77.0,1.5,140.0,0.62,1.0,0.5,0.002,0.2999999999999998,0.4
GW61,17/02/2021,9.8,9.4,9.8,1,7,9,3,19,7.38,77.0,1.5,140.0,0.62,1.0,0.5,0.002,0.40000000000000036,0.4
GW63,17/07/2019,1.28,0.63,1.28,1,1,1,24,25,6.19,231.0,14.0,625.0,1.6,1.0,0.5,0.005,0.65,1.0
GW63,17/07/2019,2.16,1.15,2.16,2,1,1,16,19,6.19,231.0,14.0,625.0,1.6,1.0,0.5,0.005,1.0100000000000002,1.0
GW63,17/07/2019,5.1,3.9,5.1,3,1,5,15,24,6.19,231.0,14.0,625.0,1.6,1.0,0.5,0.005,1.1999999999999997,1.0
GW63,17/07/2019,6.9,7.1,6.9,3,2,8,13,26,6.19,231.0,14.0,625.0,1.6,1.0,0.5,0.005,-0.1999999999999993,1.0
GW63,17/07/2019,11.0,11.2,11.0,5,5,12,11,33,6.19,231.0,14.0,625.0,1.6,1.0,0.5,0.005,-0.1999999999999993,1.0
GW64,17/07/2019,1.28,0.84,1.28,1,1,1,26,26,5.89,242.0,0.1,680.0,1.4,1.0,0.5,0.001,0.44000000000000006,0.2
GW64,17/07/2019,2.16,1.75,2.16,1,1,3,34,37,5.89,242.0,0.1,680.0,1.4,1.0,0.5,0.001,0.41000000000000014,0.2
GW64,17/07/2019,5.1,4.6,5.1,2,1,11,33,47,5.89,242.0,0.1,680.0,1.4,1.0,0.5,0.001,0.5,0.2
GW64,17/07/2019,6.9,7.0,6.9,2,3,17,29,51,5.89,242.0,0.1,680.0,1.4,1.0,0.5,0.001,-0.09999999999999964,0.2
GW64,17/07/2019,11.0,10.8,11.0,5,7,28,30,70,5.89,242.0,0.1,680.0,1.4,1.0,0.5,0.001,0.1999999999999993,0.2
GW65,4/10/2019,0.93,0.28,0.93,1,1,1,31,32,6.17,147.0,0.4,380.0,1.4,1.0,0.8,0.007,0.65,0.8749999999999999
GW65,4/10/2019,1.87,1.03,1.87,1,1,2,48,50,6.17,147.0,0.4,380.0,1.4,1.0,0.8,0.007,0.8400000000000001,0.8749999999999999
GW65,4/10/2019,4.1,3.3,4.1,1,4,19,40,63,6.17,147.0,0.4,380.0,1.4,1.0,0.8,0.007,0.7999999999999998,0.8749999999999999
GW65,4/10/2019,5.9,4.8,5.9,1,5,20,30,55,6.17,147.0,0.4,380.0,1.4,1.0,0.8,0.007,1.1000000000000005,0.8749999999999999
GW65,4/10/2019,9.6,7.1,9.6,7,10,23,24,64,6.17,147.0,0.4,380.0,1.4,1.0,0.8,0.007,2.5,0.8749999999999999
