Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA,30 min decay,SUVA
SW19,5/05/2021,10.6,9.2,10.6,18,32,35,10,95,6.85,26.0,0.6,60.0,0.22,1.0,1.3,0.016,1.4000000000000004,1.2307692307692308
SW24,14/05/2021,1.03,0.5,2.0,27,4,2,1,33,7.23,7.0,2.6,14.0,0.03,5.0,6.8,0.057,0.53,0.8382352941176471
SW24,14/05/2021,1.83,1.32,2.9,55,6,3,1,64,7.23,7.0,2.6,14.0,0.03,5.0,6.8,0.057,0.51,0.8382352941176471
SW24,14/05/2021,4.2,3.3,3.9,110,9,3,1,120,7.23,7.0,2.6,14.0,0.03,5.0,6.8,0.057,0.9000000000000004,0.8382352941176471
SW24,14/05/2021,5.9,4.7,1.0,110,9,3,1,130,7.23,7.0,2.6,14.0,0.03,5.0,6.8,0.057,1.2000000000000002,0.8382352941176471
SW24,14/05/2021,9.6,10.0,1.8,170,12,3,1,190,7.23,7.0,2.6,14.0,0.03,5.0,6.8,0.057,-0.40000000000000036,0.8382352941176471
SW25,9/08/2019,1.01,0.04,1.02,12,12,9,3,36,6.66,95.0,3.3,265.0,0.6,39.0,10.0,0.26,0.97,2.6
SW25,9/08/2019,2.1,0.08,2.3,18,28,34,15,95,6.66,95.0,3.3,265.0,0.6,39.0,10.0,0.26,2.02,2.6
SW25,9/08/2019,4.5,1.17,4.6,54,85,97,25,260,6.66,95.0,3.3,265.0,0.6,39.0,10.0,0.26,3.33,2.6
SW25,9/08/2019,6.9,3.3,7.1,100,130,130,26,390,6.66,95.0,3.3,265.0,0.6,39.0,10.0,0.26,3.6000000000000005,2.6
SW25,9/08/2019,11.4,7.5,11.6,170,180,130,24,500,6.66,95.0,3.3,265.0,0.6,39.0,10.0,0.26,3.9000000000000004,2.6
SW26,9/08/2019,1.01,0.05,1.02,9,8,7,5,29,7.34,103.0,0.1,280.0,0.58,7.0,5.2,0.096,0.96,1.846153846153846
SW26,9/08/2019,2.1,0.18,2.3,11,18,29,32,90,7.34,103.0,0.1,280.0,0.58,7.0,5.2,0.096,1.9200000000000002,1.846153846153846
SW26,9/08/2019,4.5,1.86,4.6,25,58,100,48,230,7.34,103.0,0.1,280.0,0.58,7.0,5.2,0.096,2.6399999999999997,1.846153846153846
SW26,9/08/2019,6.9,4.3,7.1,55,98,130,46,330,7.34,103.0,0.1,280.0,0.58,7.0,5.2,0.096,2.6000000000000005,1.846153846153846
SW26,9/08/2019,11.4,8.0,11.6,110,150,130,39,430,7.34,103.0,0.1,280.0,0.58,7.0,5.2,0.096,3.4000000000000004,1.846153846153846
SW29,16/02/2021,0.96,1.56,0.98,52,62,56,18,190,6.9,40.0,1.5,100.0,0.02,1.0,4.0,0.024,-0.6000000000000001,0.6
SW29,16/02/2021,1.86,2.6,1.91,54,60,53,17,180,6.9,40.0,1.5,100.0,0.02,1.0,4.0,0.024,-0.74,0.6
SW29,16/02/2021,4.1,4.6,4.3,54,46,41,14,160,6.9,40.0,1.5,100.0,0.02,1.0,4.0,0.024,-0.5,0.6
SW29,16/02/2021,6.0,6.4,6.2,82,68,55,17,220,6.9,40.0,1.5,100.0,0.02,1.0,4.0,0.024,-0.40000000000000036,0.6
SW29,16/02/2021,9.8,8.8,10.2,110,76,60,18,260,6.9,40.0,1.5,100.0,0.02,1.0,4.0,0.024,1.0,0.6
SW30,7/05/2019,1.05,1.87,1.08,38,48,36,9,130,7.81,29.0,0.2,70.0,0.02,1.0,2.6,0.031,-0.8200000000000001,1.1923076923076923
SW30,7/05/2019,2.0,3.5,2.0,43,50,36,9,140,7.81,29.0,0.2,70.0,0.02,1.0,2.6,0.031,-1.5,1.1923076923076923
SW30,7/05/2019,4.2,5.6,4.3,55,56,39,9,160,7.81,29.0,0.2,70.0,0.02,1.0,2.6,0.031,-1.3999999999999995,1.1923076923076923
SW30,7/05/2019,5.9,6.9,6.9,56,54,39,9,160,7.81,29.0,0.2,70.0,0.02,1.0,2.6,0.031,-1.0,1.1923076923076923
SW30,7/05/2019,10.6,11.6,10.4,67,58,35,9,170,7.81,29.0,0.2,70.0,0.02,1.0,2.6,0.031,-1.0,1.1923076923076923
SW31,5/02/2020,0.94,0.25,0.96,8,10,9,2,29,7.46,20.0,0.1,33.0,0.12,3.0,4.0,0.066,0.69,1.6500000000000001
SW31,5/02/2020,1.75,1.06,1.78,24,26,18,2,70,7.46,20.0,0.1,33.0,0.12,3.0,4.0,0.066,0.69,1.6500000000000001
SW31,5/02/2020,3.9,3.0,4.1,51,37,20,2,110,7.46,20.0,0.1,33.0,0.12,3.0,4.0,0.066,0.8999999999999999,1.6500000000000001
SW31,5/02/2020,5.6,4.5,6.0,110,52,23,2,190,7.46,20.0,0.1,33.0,0.12,3.0,4.0,0.066,1.0999999999999996,1.6500000000000001
SW31,5/02/2020,9.6,9.0,9.8,140,58,24,1,220,7.46,20.0,0.1,33.0,0.12,3.0,4.0,0.066,0.5999999999999996,1.6500000000000001
SW32,3/04/2019,1.01,1.01,1.01,55,41,27,4,130,6.97,24.0,0.5,60.0,0.02,1.0,2.6,0.018,0.0,0.6923076923076923
SW32,3/04/2019,2.2,1.85,2.1,64,44,28,5,140,6.97,24.0,0.5,60.0,0.02,1.0,2.6,0.018,0.3500000000000001,0.6923076923076923
SW32,3/04/2019,4.2,4.1,4.4,83,50,30,5,170,6.97,24.0,0.5,60.0,0.02,1.0,2.6,0.018,0.10000000000000053,0.6923076923076923
SW32,3/04/2019,6.0,6.3,6.1,89,51,30,5,180,6.97,24.0,0.5,60.0,0.02,1.0,2.6,0.018,-0.2999999999999998,0.6923076923076923
SW32,3/04/2019,10.0,11.0,9.8,120,58,30,5,210,6.97,24.0,0.5,60.0,0.02,1.0,2.6,0.018,-1.0,0.6923076923076923
SW33,1/06/2021,0.96,0.92,0.99,20,33,39,15,110,7.36,28.0,0.2,70.0,0.02,1.0,2.0,0.014,0.039999999999999925,0.7000000000000001
SW33,1/06/2021,1.89,1.74,1.9,25,36,38,15,110,7.36,28.0,0.2,70.0,0.02,1.0,2.0,0.014,0.1499999999999999,0.7000000000000001
SW33,1/06/2021,3.9,3.6,3.9,29,42,42,15,130,7.36,28.0,0.2,70.0,0.02,1.0,2.0,0.014,0.2999999999999998,0.7000000000000001
SW33,1/06/2021,5.5,5.5,5.6,38,50,46,16,150,7.36,28.0,0.2,70.0,0.02,1.0,2.0,0.014,0.0,0.7000000000000001
SW33,1/06/2021,9.0,9.2,9.2,51,55,46,15,170,7.36,28.0,0.2,70.0,0.02,1.0,2.0,0.014,-0.1999999999999993,0.7000000000000001
SW34,4/03/2020,0.91,1.11,0.91,1,5,27,76,110,7.89,122.0,0.1,110.0,0.02,1.0,0.9,0.012,-0.20000000000000007,1.3333333333333333
SW34,4/03/2020,1.75,1.98,1.75,1,8,29,65,100,7.89,122.0,0.1,110.0,0.02,1.0,0.9,0.012,-0.22999999999999998,1.3333333333333333
SW34,4/03/2020,3.5,4.0,3.5,12,12,32,72,130,7.89,122.0,0.1,110.0,0.02,1.0,0.9,0.012,-0.5,1.3333333333333333
SW34,4/03/2020,5.5,5.8,5.5,5,14,32,68,120,7.89,122.0,0.1,110.0,0.02,1.0,0.9,0.012,-0.2999999999999998,1.3333333333333333
SW34,4/03/2020,10.0,9.8,10.0,8,20,32,66,130,7.89,122.0,0.1,110.0,0.02,1.0,0.9,0.012,0.1999999999999993,1.3333333333333333
SW35,15/05/2019,1.06,0.77,1.07,24,38,42,32,140,8.72,32.0,0.5,75.0,0.1,1.0,2.8,0.027,0.29000000000000004,0.9642857142857144
SW35,15/05/2019,1.88,1.61,1.92,34,59,61,28,180,8.72,32.0,0.5,75.0,0.1,1.0,2.8,0.027,0.2699999999999998,0.9642857142857144
SW35,15/05/2019,4.6,3.7,4.7,48,77,67,22,210,8.72,32.0,0.5,75.0,0.1,1.0,2.8,0.027,0.8999999999999995,0.9642857142857144
SW35,15/05/2019,6.2,5.8,6.5,60,85,67,19,230,8.72,32.0,0.5,75.0,0.1,1.0,2.8,0.027,0.40000000000000036,0.9642857142857144
SW35,15/05/2019,10.6,10.4,11.0,73,91,58,14,240,8.72,32.0,0.5,75.0,0.1,1.0,2.8,0.027,0.1999999999999993,0.9642857142857144
SW36,4/07/2019,1.11,1.44,1.14,3,1,1,1,3,7.17,22.0,0.8,50.0,0.02,5.0,5.0,0.059,-0.32999999999999985,1.18
SW36,4/07/2019,1.89,0.34,2.0,4,2,1,1,6,7.17,22.0,0.8,50.0,0.02,5.0,5.0,0.059,1.5499999999999998,1.18
SW36,4/07/2019,5.0,3.5,4.8,9,6,2,1,17,7.17,22.0,0.8,50.0,0.02,5.0,5.0,0.059,1.5,1.18
SW36,4/07/2019,6.1,1.0,7.2,11,9,4,1,25,7.17,22.0,0.8,50.0,0.02,5.0,5.0,0.059,5.1,1.18
SW36,4/07/2019,12.0,3.3,11.8,78,26,9,1,110,7.17,22.0,0.8,50.0,0.02,5.0,5.0,0.059,8.7,1.18
SW37,13/06/2019,1.09,0.21,1.09,3,1,1,1,3,7.38,23.0,4.9,50.0,0.04,5.0,5.2,0.06,0.8800000000000001,1.1538461538461537
SW37,13/06/2019,2.0,0.09,2.0,4,1,1,1,5,7.38,23.0,4.9,50.0,0.04,5.0,5.2,0.06,1.91,1.1538461538461537
SW37,13/06/2019,4.5,0.32,4.5,11,7,3,1,21,7.38,23.0,4.9,50.0,0.04,5.0,5.2,0.06,4.18,1.1538461538461537
SW37,13/06/2019,6.7,1.19,6.7,51,18,9,1,79,7.38,23.0,4.9,50.0,0.04,5.0,5.2,0.06,5.51,1.1538461538461537
SW37,13/06/2019,10.4,5.2,10.4,110,30,11,1,150,7.38,23.0,4.9,50.0,0.04,5.0,5.2,0.06,5.2,1.1538461538461537
SW38,11/07/2019,1.11,1.83,1.14,19,39,53,29,140,8.16,75.0,0.2,110.0,0.02,1.0,1.3,0.027,-0.72,2.076923076923077
SW38,11/07/2019,1.89,3.3,2.02,22,39,53,27,140,8.16,75.0,0.2,110.0,0.02,1.0,1.3,0.027,-1.41,2.076923076923077
SW38,11/07/2019,5.0,5.3,4.8,27,40,51,27,140,8.16,75.0,0.2,110.0,0.02,1.0,1.3,0.027,-0.2999999999999998,2.076923076923077
