Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA
GW28,7/05/2019,1.05,0.1,1.08,1,1,1,3,5,,,,,,,,
GW28,7/05/2019,2,0.24,2,1,1,2,8,11,,,,,,,,
GW28,7/05/2019,4.2,1.7,4.3,1,6,20,27,53,,,,,,,,
GW28,7/05/2019,5.9,4.1,6.9,1,12,26,21,59,,,,,,,,
GW28,7/05/2019,10.6,8.1,10.4,6,18,28,16,68,,,,,,,,
GW29,26/05/2021,0.93,0.09,0.93,1,1,1,1,4,,,,,,,,
GW29,26/05/2021,1.95,0.15,1.98,1,1,1,1,4,,,,,,,,
GW29,26/05/2021,3.7,0.84,3.9,1,1,1,1,4,,,,,,,,
GW29,26/05/2021,5.6,1.82,5.6,1,1,1,1,4,,,,,,,,
GW29,26/05/2021,9.6,4.7,9.8,1,1,1,1,4,,,,,,,,
GW30,27/05/2019,0.93,0.71,0.93,1,1,3,11,14,,,,,,,,
GW30,27/05/2019,1.81,1.63,1.82,1,1,5,7,13,,,,,,,,
GW30,27/05/2019,4.1,3.5,3.9,1,3,6,5,14,,,,,,,,
GW30,27/05/2019,5.8,5.5,6.2,2,3,5,3,13,,,,,,,,
GW30,27/05/2019,9.4,9.4,10.2,3,5,6,3,17,,,,,,,,
GW31,22/11/2019,1.01,1.27,1.12,15,35,63,35,150,7.92,85,0.3,115,0.04,1,1.5,0.03
GW31,22/11/2019,1.9,2.01,1.88,19,41,72,40,170,7.92,85,0.3,115,0.04,1,1.5,0.03
GW31,22/11/2019,3.8,4.6,4,26,42,65,35,170,7.92,85,0.3,115,0.04,1,1.5,0.03
GW31,22/11/2019,5.3,6.3,5.9,30,43,66,36,180,7.92,85,0.3,115,0.04,1,1.5,0.03
